origen,donacion_unitaria,donacion_multiple,fecha,donativo,estado
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000020000.00,
Banamex,true,,2016-12-09,0000010000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000020000.00,
Banamex,true,,2016-12-09,0000003500.00,
Banamex,true,,2016-12-09,0000015000.00,
Banamex,true,,2016-12-09,0000010000.00,
Banamex,true,,2016-12-09,0000010000.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000015000.00,
Banamex,true,,2016-12-09,0000001111.11,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000050000.00,
Banamex,true,,2016-12-09,0000020000.00,
Banamex,true,,2016-12-09,0000004875.00,
Banamex,true,,2016-12-09,0000020000.00,
Banamex,true,,2016-12-09,0000002700.00,
Banamex,true,,2016-12-09,0000002700.00,
Banamex,true,,2016-12-09,0000006140.00,
Banamex,true,,2016-12-09,0000003120.00,
Banamex,true,,2016-12-09,0000025000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000020000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000003000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000100.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000400.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000015000.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000001.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000010000.00,
Banamex,true,,2016-12-09,0000002000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000150.00,
Banamex,true,,2016-12-09,0000000100.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000400.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000002000.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000000450.00,
Banamex,true,,2016-12-09,0000000050.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000002000.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000150.00,
Banamex,true,,2016-12-09,0000002000.00,
Banamex,true,,2016-12-09,0000002000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000004000.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000050.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000010000.00,
Banamex,true,,2016-12-09,0000012000.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000005000.00,
Banamex,true,,2016-12-09,0000000001.00,
Banamex,true,,2016-12-09,0000000100.00,
Banamex,true,,2016-12-09,0000000250.00,
Banamex,true,,2016-12-09,0000000250.00,
Banamex,true,,2016-12-09,0000000300.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000000001.00,
Banamex,true,,2016-12-09,0000000200.00,
Banamex,true,,2016-12-09,0000000500.00,
Banamex,true,,2016-12-09,0000001000.00,
Banamex,true,,2016-12-09,0000000200.00,
